nb_A,nb_W,nb_A_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_new_A,nb_new_A_afterW
31457.2,2080.6,33537.8,15841.7,10038.55,60.5,2740.85,347.75,1342.05,16.35,8710.55,85.25,4421.7,1155.25
31860.8,2079.1,33939.9,15938.75,10326.9,59.5,2962.9,346.7,1340.95,15.8,8720.2,83.65,4433.5,1161.65
32439.9,2098.45,34538.35,16161.8,10696.2,60.05,3207.6,348.55,1351.6,15.1,8722.95,81.15,4412.65,1169.25
32501.35,2119.65,34621,16108.1,10818.85,60.5,3332.1,349.4,1353.85,14.65,8721.85,79.1,4399.15,1175.25
32901,2110.6,35011.6,16327.55,10901.45,60.45,3301.55,331.9,1360.6,16,9002.5,83.8,4485.3,1186.7
32689.9,2098.35,34788.25,16295.35,10852.95,59.8,3293.3,318.4,1367.8,15.95,8999.4,84.15,4349.2,1192.4
32791.1,2080.1,34871.2,16394.5,10821.3,59.4,3299.7,318.75,1390.25,15.95,8936.4,84.15,4380.45,1194.85
30952.05,1991.9,32943.95,15825.4,10032.2,59.9,3247.2,288.85,1383,15.6,7796.15,78.4,3955.15,1139.3
26847.95,1575.25,28423.2,13554.8,9031.65,47.5,2940,252.75,1377.85,16.1,4580.1,78.05,3320.6,940.9
27212.1,1580.45,28792.55,13798.5,9156.9,53.05,3058.5,265.95,1358.9,15.75,4574.2,78.55,3322.25,934.45
27308.45,1619.35,28927.8,13813.7,9146.2,52.95,3121.35,305.3,1342,14.7,4561.5,76.1,3430.05,918.5
26307.6,1598.65,27906.25,13902.1,8728.3,52.5,2596.05,297.7,1321.5,15.7,4825.75,80.7,2772.35,904.85
25496.4,1607.75,27104.15,13676.9,8205.6,51.25,2341,312.75,1308.65,16.4,4638.4,83.5,2719.8,894.1
23484.65,1619.35,25104,12839.85,7389.15,42.6,2273.25,322.35,1321.35,16.15,3638.3,80.2,2341.8,913.85
22755.65,1616.15,24371.8,12189.85,7058.85,19.3,2189.1,300.55,1326.65,16.2,3463,80.95,2578.7,928.25
22961.95,1625.6,24587.55,12172.25,7253.85,19,2355.8,291.95,1330.05,15.85,3454.4,78.4,2598.4,937.45
24085.2,1664.45,25749.65,12289,7909.6,19.05,2698.95,295.3,1336.45,14.65,4168.15,75.75,2935.6,951
25541.1,1712.3,27253.4,12885.4,8456.1,20.8,2846.05,314.3,1316.9,14.35,5050.75,75.55,3200.55,999.05
26062.8,1735.7,27798.5,13254.45,8409.65,22.5,2637.35,321.8,1311.35,15.5,5105.1,77.75,3400.2,998.5
26756,1795.7,28551.7,13599.1,8742.9,23.5,2762.4,335.75,1296.25,15,5104.05,76.85,3415.35,998.65
28128.15,1836.55,29964.7,14694.5,9049.9,25.2,2805.2,361,1270.65,15.4,5483.8,80.85,3387.25,996.5
27796.85,1844.45,29641.3,14659.7,8783.65,25.1,2571.6,364.1,1268.4,16.2,5485.25,84.5,3365.75,987.75
27458.3,1816.1,29274.4,14565.65,8531.1,24.55,2451.85,361.65,1252.7,16.25,5484.1,84.55,3390.35,971.2
27775.7,1859.2,29634.9,14764.55,8550.35,24.15,2415,391.9,1245.9,16.4,5491.4,86,3481.7,979.1
28035.4,1909.15,29944.55,14867.4,8806.7,24.65,2561.9,414.35,1248.8,14.75,5306.65,81.15,3375.1,986.2
28081.05,1918.95,30000,14888.95,8835.15,26.5,2575,414.2,1250.5,14.65,5330.55,80.35,3363.95,993
28059.85,1920.25,29980.1,14799.9,8907.05,27.15,2593.45,413.85,1254.5,14.5,5328.9,80.55,3356.3,996.6
27973.75,1895.95,29869.7,14704,8892.85,27.05,2615.5,401.8,1243.35,14,5330.6,80.65,3380,996.9
27887.3,1903.8,29791.1,14650.95,8862.2,26.6,2618.45,399.45,1238.4,13.8,5317.45,82,3368.85,1005.3
27849.1,1879.95,29729.05,14618.6,8980.1,21.6,2655.1,385.05,1235.6,13.75,5543.1,80.05,3242.85,1007.55
28169.6,1815.75,29985.35,14701,9238.35,21.65,2904.35,343.25,1240.25,13.4,5553.65,77.55,3214.4,1015.85
27803.6,1831.4,29635,14517.6,9137.8,22.15,2933.15,348,1238.4,12.75,5300.6,75.4,3129.2,1019
27860.3,1815.75,29676.05,14470.45,9275.45,22.45,3106.15,333.3,1240.1,11.95,5291.5,72.2,3099.6,1014.8
27008.55,1736.4,28744.95,14145.5,9030.6,22.4,3050.8,294.95,1237.1,12.6,5214.5,70,2861.7,970.75
26081.65,1705.45,27787.1,13863.85,8829.55,22.9,2951.4,301.1,1241.2,12.8,4971.9,70.7,2439.1,949.15
25578.35,1680.65,27259,13697.2,8545.95,23.3,2739.4,314.35,1240.55,13.45,4974.85,73.85,2404.5,930.7
