nb_A,nb_W,nb_A_W
25622.15,1989.25,27609.9
25365.2,1951.65,27315.3
25529.6,1917.95,27446.0
25377.15,1912.3,27287.8
25610.35,1896.9,27505.6
26845.55,1842.15,28686.3
26666.6,1819.9,28485.2
26977.75,1829.35,28801.9
27530.0,1816.95,29340.45
27317.9,1815.5,29126.6
27131.2,1792.5,28916.7
27117.5,1784.45,28894.95
26961.4,1778.0,28732.4
27384.35,1782.8,29160.0
27293.25,1779.85,29066.05
26682.85,1734.7,28410.5
26144.8,1697.9,27835.65
24959.7,1697.2,26647.6
24206.3,1644.8,25841.45
23790.55,1631.2,25408.75
24339.8,1625.7,25952.35
24656.95,1653.7,26297.55
24455.0,1663.3,26103.7
24874.7,1675.1,26535.05
24377.3,1692.5,26055.1
22476.25,1687.7,24149.2
22329.1,1693.6,24007.9
22265.8,1676.25,23930.75
22020.9,1704.15,23715.05
22348.75,1735.25,24074.55
22625.8,1771.1,24387.65
22869.5,1782.4,24642.65
22951.65,1832.8,24775.25
23546.85,1832.35,25370.25
23818.9,1840.65,25650.6
23840.5,1862.55,25694.1
23802.85,1871.55,25665.3
23855.95,1854.2,25703.3
24230.2,1892.25,26116.0
24546.05,1914.2,26457.15
23916.1,1933.35,25846.6
23785.5,1916.35,25697.1
24623.95,1913.0,26533.5
24493.4,1963.6,26453.75
24322.25,1984.1,26301.25
24268.25,2019.85,26283.05
24083.75,2029.55,26108.15
24076.15,2044.9,26116.0
24251.3,2049.8,26295.4
24346.35,2034.3,26374.85
24410.45,2016.35,26420.95
24369.15,2031.05,26394.15
24314.75,1990.95,26297.7
23522.0,2015.8,25528.6
23777.25,2035.3,25803.15
23963.4,2030.55,25961.4
24430.75,2018.7,26415.65
24439.1,2024.4,26421.4
24741.05,2016.7,26714.85
25137.5,2021.25,27112.45
26166.35,2047.2,28166.85
26915.2,2048.75,28906.5
26719.8,2057.45,28709.45
26453.55,1999.0,28383.85
26433.1,1956.15,28320.65
26706.95,1935.5,28567.6
29133.8,1942.5,31000.4
30148.85,1948.05,32018.4
30155.85,1944.45,32021.85
30104.95,1963.0,31984.45
29921.0,1952.25,31789.55
29767.6,1941.65,31623.55
29530.95,1967.4,31411.05
29736.35,1954.15,31603.1
29459.55,1944.95,31316.0
29401.0,1940.25,31273.05
29117.55,1947.15,30997.75
29309.05,1966.2,31211.55
29088.9,1976.55,31001.8
28750.25,1973.45,30661.25
28058.75,1935.95,29931.9
27091.55,1923.3,28961.55
25954.85,1909.75,27821.85
26053.5,1909.1,27892.85
26641.4,2117.1,28690.15
26407.3,2138.9,28483.65
24015.1,2122.15,26075.35
22953.2,2145.1,25037.3
22988.2,2153.3,25079.65
23147.7,2271.2,25361.25
24307.6,2374.9,26624.55
25213.6,2607.95,27763.35
26024.05,2817.4,28786.0
25825.45,3031.55,28801.0
25939.65,3036.45,28918.3
26136.4,3013.0,29094.4
26110.15,3024.2,29076.75
27283.65,3007.8,30237.85
27777.2,3032.35,30755.3
27829.75,3038.0,30814.3
27698.45,3050.15,30695.55
27722.7,3044.5,30715.65
27998.9,3116.9,31062.3
29476.45,3111.55,32561.8
28978.75,2904.85,31857.7
29179.55,2874.5,32028.55
29253.9,2881.05,32110.0
29289.95,2848.65,32113.55
28685.95,2820.9,31483.15
28109.2,2677.2,30761.95
26964.3,2571.45,29510.9
26101.5,2336.7,28415.8
26061.65,2124.35,28162.2
26281.25,1919.3,28173.3
26175.9,1900.15,28050.75
25971.4,1915.45,27860.35
26074.3,1904.6,27953.45
24841.75,1874.65,26690.65
24591.55,1844.85,26411.3
