Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 16:52:30,2488,139,2626
2017-07-07 16:53:00,3970,178,4096
2017-07-07 16:53:30,3222,236,3353
2017-07-07 16:54:00,3227,200,3424
2017-07-07 16:54:30,4161,241,4379
2017-07-07 16:55:00,47543,4571,52092
2017-07-07 16:55:30,32001,4883,36643
2017-07-07 16:56:00,18545,2174,20594
2017-07-07 16:56:30,22088,1796,23870
2017-07-07 16:57:00,14483,839,15300
2017-07-07 16:57:30,6954,464,7316
2017-07-07 16:58:00,7218,221,7433
2017-07-07 16:58:30,13196,563,13704
2017-07-07 16:59:00,11544,457,11781
2017-07-07 16:59:30,8850,221,7988
2017-07-07 17:00:00,9769,169,9871
2017-07-07 17:00:30,7945,107,7798
2017-07-07 17:01:00,6660,240,6879
2017-07-07 17:01:30,4616,202,4808
2017-07-07 17:02:00,7820,518,8289
2017-07-07 17:02:30,4867,321,5106
2017-07-07 17:03:00,3668,190,3843
2017-07-07 17:03:30,5334,178,5413
2017-07-07 17:04:00,3457,420,3850
2017-07-07 17:04:30,4979,298,5234
2017-07-07 17:05:00,5418,257,5635
2017-07-07 17:05:30,3168,187,3321
2017-07-07 17:06:00,5534,169,5695
2017-07-07 17:06:30,5302,136,5040
2017-07-07 17:07:00,4279,187,4317
2017-07-07 17:07:30,6614,179,6533
2017-07-07 17:08:00,6801,108,6908
2017-07-07 17:08:30,3579,203,3780
2017-07-07 17:09:00,4778,328,4957
2017-07-07 17:09:30,3921,195,3932
2017-07-07 17:10:00,6892,219,7106
2017-07-07 17:10:30,2952,92,2817
2017-07-07 17:11:00,3986,182,3969
2017-07-07 17:11:30,4451,144,4586
2017-07-07 17:12:00,3289,206,3495
2017-07-07 17:12:30,4671,448,5004
2017-07-07 17:13:00,3550,154,3543
2017-07-07 17:13:30,2788,85,2837
2017-07-07 17:14:00,3909,94,3957
2017-07-07 17:14:30,3592,89,3421
2017-07-07 17:15:00,3797,249,4043
2017-07-07 17:15:30,3574,140,3552
2017-07-07 17:16:00,4529,140,4663
2017-07-07 17:16:30,3760,78,3836
2017-07-07 17:17:00,2814,82,2888
2017-07-07 17:17:30,3187,114,3172
2017-07-07 17:18:00,7391,468,7847
2017-07-07 17:18:30,4559,188,4524
2017-07-07 17:19:00,5167,168,5334
2017-07-07 17:19:30,3795,249,4040
2017-07-07 17:20:00,4324,167,4475
2017-07-07 17:20:30,3849,245,3704
2017-07-07 17:21:00,5206,314,5507
2017-07-07 17:21:30,4442,193,4628
2017-07-07 17:22:00,2829,243,2814
2017-07-07 17:22:30,5412,158,5496
2017-07-07 17:23:00,16205,166,16369
2017-07-07 17:23:30,3522,193,3705
2017-07-07 17:24:00,4893,286,5124
2017-07-07 17:24:30,3172,174,3326
2017-07-07 17:25:00,3643,178,3727
2017-07-07 17:25:30,3081,341,3399
2017-07-07 17:26:00,4330,203,4480
2017-07-07 17:26:30,4673,148,4762
2017-07-07 17:27:00,2280,137,2406
2017-07-07 17:27:30,2996,181,3074
2017-07-07 17:28:00,2310,147,2407
2017-07-07 17:28:30,5341,170,5141
2017-07-07 17:29:00,4487,477,4946
2017-07-07 17:29:30,3381,127,3243
2017-07-07 17:30:00,4594,73,4493
2017-07-07 17:30:30,10337,256,10368
2017-07-07 17:31:00,7150,314,7449
2017-07-07 17:31:30,5715,232,5827
2017-07-07 17:32:00,5964,242,6113
2017-07-07 17:32:30,7578,194,7646
2017-07-07 17:33:00,8728,540,9075
2017-07-07 17:33:30,6978,261,7063
2017-07-07 17:34:00,6600,171,6419
2017-07-07 17:34:30,6351,158,6277
2017-07-07 17:35:00,34871,143,35008
2017-07-07 17:35:30,4259,192,4297
2017-07-07 17:36:00,6893,274,7135
2017-07-07 17:36:30,6714,321,6996
2017-07-07 17:37:00,5407,257,5661
2017-07-07 17:37:30,6252,424,6655
2017-07-07 17:38:00,5198,256,5217
2017-07-07 17:38:30,5572,329,5858
2017-07-07 17:39:00,3709,139,3846
2017-07-07 17:39:30,3975,320,4281
2017-07-07 17:40:00,10221,731,10898
2017-07-07 17:40:30,3345,283,3503
2017-07-07 17:41:00,6139,252,6205
2017-07-07 17:41:30,3635,323,3825
2017-07-07 17:42:00,6137,295,6389
2017-07-07 17:42:30,7248,240,7436
2017-07-07 17:43:00,8477,468,8914
2017-07-07 17:43:30,7419,636,8022
2017-07-07 17:44:00,4941,475,5416
2017-07-07 17:44:30,5896,508,6370
2017-07-07 17:45:00,4706,690,4688
2017-07-07 17:45:30,5103,609,5675
2017-07-07 17:46:00,3696,365,4027
2017-07-07 17:46:30,4861,175,4769
2017-07-07 17:47:00,6171,292,6313
2017-07-07 17:47:30,4828,242,5042
2017-07-07 17:48:00,7040,212,7237
2017-07-07 17:48:30,4042,203,4082
2017-07-07 17:49:00,9214,215,9423
2017-07-07 17:49:30,7055,187,7242
2017-07-07 17:50:00,5799,182,5950
2017-07-07 17:50:30,4431,136,4492
2017-07-07 17:51:00,6380,469,6709
2017-07-07 17:51:30,6036,173,6183
2017-07-07 17:52:00,8316,170,8309
2017-07-07 17:52:30,5331,397,5565
2017-07-07 17:53:00,14887,630,15441
2017-07-07 17:53:30,7900,410,8082
2017-07-07 17:54:00,5115,207,5259
2017-07-07 17:54:30,5790,124,5880
2017-07-07 17:55:00,5299,225,5511
2017-07-07 17:55:30,8335,324,8657
2017-07-07 17:56:00,6449,324,6687
2017-07-07 17:56:30,5532,208,5723
2017-07-07 17:57:00,4830,209,5028
2017-07-07 17:57:30,4085,208,4119
2017-07-07 17:58:00,4594,224,4739
2017-07-07 17:58:30,12593,673,13260
2017-07-07 17:59:00,12498,1384,13867
2017-07-07 17:59:30,4620,1217,5806
2017-07-07 18:00:00,5004,908,5889
2017-07-07 18:00:30,6539,551,7035
2017-07-07 18:01:00,3335,346,3664
2017-07-07 18:01:30,7669,1249,8910
2017-07-07 18:02:00,5446,205,5398
2017-07-07 18:02:30,3367,198,3563
2017-07-07 18:03:00,4222,347,4547
2017-07-07 18:03:30,5950,230,6119
2017-07-07 18:04:00,5126,202,5277
2017-07-07 18:04:30,3679,167,3828
2017-07-07 18:05:00,3396,153,3470
2017-07-07 18:05:30,2296,121,2320
2017-07-07 18:06:00,2995,120,3043
2017-07-07 18:06:30,3966,250,4215
2017-07-07 18:07:00,4968,580,5547
2017-07-07 18:07:30,4464,179,4577
2017-07-07 18:08:00,3741,188,3926
2017-07-07 18:08:30,2511,193,2702
2017-07-07 18:09:00,4170,230,4361
2017-07-07 18:09:30,3822,305,4122
2017-07-07 18:10:00,5151,328,5460
2017-07-07 18:10:30,4159,180,4284
2017-07-07 18:11:00,5083,269,5330
2017-07-07 18:11:30,15791,292,15462
2017-07-07 18:12:00,13847,189,13868
2017-07-07 18:12:30,17522,718,17740
2017-07-07 18:13:00,11257,243,11405
2017-07-07 18:13:30,8181,305,8405
2017-07-07 18:14:00,18088,483,18570
2017-07-07 18:14:30,4704,1465,5718
